article_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,url,page_url
5793507,THE WEATHER. FURTHER SHOWERS PROMISED.,34,"The Advertiser (Adelaide, SA : 1889 - 1931)",19,1913-07-19,Article,572,N,0,http://nla.gov.au/nla.news-article5793507,http://trove.nla.gov.au/newspaper/page/961555
58488858,Weather in Townsville. CAPTAIN RHODES' STATISTICS.,97,Townsville Daily Bulletin (Qld. : 1907 - 1954),2,1916-01-21,Article,667,N,0,http://nla.gov.au/nla.news-article58488858,http://trove.nla.gov.au/newspaper/page/4952285
80340956,"INTERSTATE. SYDNEY, April 9.",258,"The Northern Miner (Charters Towers, Qld. : 1874 - 1954)",7,1912-04-10,Article,555,N,0,http://nla.gov.au/nla.news-article80340956,http://trove.nla.gov.au/newspaper/page/7835872
127687509,"LATEST TELEGRAMS SYDNEY, Wednesday.",498,"The Raleigh Sun (Bellingen, NSW : 1898 - 1918)",4,1912-04-05,Article,598,N,0,http://nla.gov.au/nla.news-article127687509,http://trove.nla.gov.au/newspaper/page/13810022
210333082,"WEAGGE AND THE WEATHER. ADVICE AND FORECAST. LOOK OUT FOR ULYSSES. Petersburg, April 1.",1093,"The Express and Telegraph (Adelaide, SA : 1867 - 1922)",6 S,1913-04-02,Article,542,N,0,http://nla.gov.au/nla.news-article210333082,http://trove.nla.gov.au/newspaper/page/23044088
66467798,No title,173,Geraldton Guardian (WA : 1906 - 1928),2,1912-04-11,Article,596,N,5,http://nla.gov.au/nla.news-article66467798,http://trove.nla.gov.au/newspaper/page/6490319
50420546,CURRENT TOPICS.,68,"Examiner (Launceston, Tas. : 1900 - 1954)",4 S,1910-05-23,Article,3181,N,1,http://nla.gov.au/nla.news-article50420546,http://trove.nla.gov.au/newspaper/page/3023259
79172464,PROPOSED NORTHERN WEATHER BUREAU. MR. CLEMENT L. WRAGGE'S VIEWS.,258,"The Northern Miner (Charters Towers, Qld. : 1874 - 1954)",3,1914-01-13,Article,1941,N,2,http://nla.gov.au/nla.news-article79172464,http://trove.nla.gov.au/newspaper/page/7899590
60380003,Correspondence. WEATHER WARNING STATIONS. (To the Editor.),97,Townsville Daily Bulletin (Qld. : 1907 - 1954),6,1913-10-04,Article,823,N,5,http://nla.gov.au/nla.news-article60380003,http://trove.nla.gov.au/newspaper/page/4869238
5793336,USEFUL RAIN. MORE EXPECTED SHORTLY.,34,"The Advertiser (Adelaide, SA : 1889 - 1931)",11,1913-07-18,Article,782,N,0,http://nla.gov.au/nla.news-article5793336,http://trove.nla.gov.au/newspaper/page/961531
5793064,A NOVEL EXPERIENCE. WATERPROOFS AND UMBRELLAS NECESSARY A GENERAL RAIN. FURTHER DEPRESSION COMLNG UP.,34,"The Advertiser (Adelaide, SA : 1889 - 1931)",8,1913-07-17,Article,797,N,0,http://nla.gov.au/nla.news-article5793064,http://trove.nla.gov.au/newspaper/page/961512
140673352,BREVITIES.,656,"The Riverine Grazier (Hay, NSW : 1873 - 1954)",1,1911-10-13,Article,884,N,0,http://nla.gov.au/nla.news-article140673352,http://trove.nla.gov.au/newspaper/page/16229950
200936246,General News.,977,Meekatharra Miner (WA : 1909 - 1918),2,1912-04-20,Article,860,N,0,http://nla.gov.au/nla.news-article200936246,http://trove.nla.gov.au/newspaper/page/22525261
59079635,"TOWNSVILLE DAILY BULLETIN. PUBLISHED DAILY. WEDNESDAY, JANUARY 28, 1914.",97,Townsville Daily Bulletin (Qld. : 1907 - 1954),4,1914-01-28,Article,1306,N,1,http://nla.gov.au/nla.news-article59079635,http://trove.nla.gov.au/newspaper/page/4870072
79117701,"THE NORTHERN MINER. PUBLISHED DAILY THURSDAY, MAY 22, 1913. TO-DAY. Amusements.—",258,"The Northern Miner (Charters Towers, Qld. : 1874 - 1954)",4,1913-05-22,Article,1363,N,0,http://nla.gov.au/nla.news-article79117701,http://trove.nla.gov.au/newspaper/page/7838668
147184778,Cairns Chamber of Commerce. Monthly Meeting A Northern Meteorological Station. Some Interesting Correspondence. Health Matters in Innisfail District.,733,"The Northern Herald (Cairns, Qld. : 1913 - 1939)",21,1914-05-15,Article,1574,N,0,http://nla.gov.au/nla.news-article147184778,http://trove.nla.gov.au/newspaper/page/17937446
154652263,"Current News. Railway ""Death-traps.""",791,Mount Wycheproof Ensign and East Wimmera Advocate (Vic. : 1914 - 1918),2,1915-02-19,Article,1922,N,0,http://nla.gov.au/nla.news-article154652263,http://trove.nla.gov.au/newspaper/page/17867291
